order_item_id,order_id,item_id,quantity,unit_price,discount_amount
5059292,1024327,17,1,12.49,0.00
5059293,1024327,19,2,3.99,0.00
5059294,1024327,30,1,3.29,0.00
5059295,1024328,11,2,13.49,0.00
5059296,1024329,10,4,10.99,6.59
5059297,1024329,34,1,4.49,0.67
5059298,1024330,17,1,12.49,0.00
5059299,1024330,20,1,4.49,0.00
5059300,1024330,27,1,2.49,0.00
5059301,1024331,17,1,12.49,0.00
5059302,1024331,26,1,2.49,0.00
5059303,1024331,33,1,5.49,0.00
5059304,1024332,4,1,14.99,0.00
5059305,1024332,1,1,11.49,0.00
5059306,1024333,2,1,11.99,0.00
5059307,1024333,34,1,4.49,0.00
5059308,1024333,28,1,3.49,0.00
5059309,1024334,6,1,12.99,0.00
5059310,1024334,17,1,12.49,0.00
5059311,1024334,27,1,2.49,0.00
5059312,1024335,1,1,11.49,0.00
5059313,1024335,20,1,4.49,0.00
5059314,1024335,27,1,2.49,0.00
5059315,1024335,25,1,6.49,0.00
5059316,1024336,17,-2,12.49,0.00
5059317,1024336,7,2,11.99,0.00
5059318,1024336,18,1,5.49,0.00
5059319,1024336,29,1,3.49,0.00
5059320,1024337,9,1,13.99,0.00
5059321,1024337,19,1,3.99,0.00
5059322,1024338,10,1,10.99,0.00
5059323,1024338,21,1,3.99,0.00
5059324,1024339,1,1,11.49,0.00
5059325,1024340,2,1,11.99,0.00
5059326,1024340,20,1,4.49,0.00
5059327,1024341,17,1,12.49,0.00
5059328,1024341,32,1,4.99,0.00
5059329,1024341,18,1,5.49,0.00
5059330,1024342,17,2,12.49,3.75
5059331,1024342,27,1,2.49,0.37
5059332,1024342,25,1,6.49,0.97
5059333,1024343,13,1,9.99,0.00
5059334,1024343,24,2,3.49,0.00
5059335,1024343,19,1,3.99,0.00
5059336,1024344,17,1,12.49,0.00
5059337,1024344,34,1,4.49,0.00
5059338,1024344,30,2,3.29,0.00
5059339,1024345,17,1,12.49,0.00
5059340,1024345,18,3,5.49,0.00
5059341,1024346,1,1,11.49,0.00
5059342,1024346,26,1,2.49,0.00
5059343,1024346,19,2,3.99,0.00
5059344,1024346,18,1,5.49,0.00
5059345,1024347,7,1,11.99,0.00
5059346,1024348,1,1,11.49,0.00
5059347,1024348,27,1,2.49,0.00
5059348,1024348,19,1,3.99,0.00
5059349,1024348,20,1,4.49,0.00
5059350,1024348,29,3,3.49,0.00
5059351,1024349,11,1,13.49,0.00
5059352,1024349,20,2,4.49,0.00
5059353,1024349,26,1,2.49,0.00
5059354,1024350,13,1,9.99,0.00
5059355,1024350,24,1,3.49,0.00
5059356,1024350,23,1,3.99,0.00
5059357,1024350,20,1,4.49,0.00
5059358,1024351,17,1,12.49,0.00
5059359,1024351,28,1,3.49,0.00
5059360,1024351,25,1,6.49,0.00
5059361,1024351,30,1,3.29,0.00
5059362,1024352,1,3,11.49,0.00
5059363,1024353,8,1,12.49,0.00
5059364,1024353,29,1,3.49,0.00
5059365,1024354,8,1,12.49,0.00
5059366,1024354,27,1,2.49,0.00
5059367,1024355,3,1,10.49,0.00
5059368,1024356,17,1,12.49,0.00
5059369,1024356,28,1,3.49,0.00
5059370,1024356,32,1,4.99,0.00
5059371,1024357,7,1,11.99,0.00
5059372,1024357,26,1,2.49,0.00
5059373,1024357,2,1,11.99,0.00
5059374,1024358,2,1,11.99,0.00
5059375,1024358,18,1,5.49,0.00
5059376,1024358,31,1,3.49,0.00
5059377,1024359,1,2,11.49,0.00
5059378,1024359,20,1,4.49,0.00
