order_id,location_id,customer_id,order_ts,channel,promo_code,payment_type,order_status
1000019,13,2065,2026-01-01 12:13:24,delivery,,credit_card,completed
1000322,12,,2026-01-03 12:23:41,takeout,,apple_pay,completed
1000377,18,809,2026-01-03 15:52:47,drive_thru,,apple_pay,completed
1000429,5,2462,2026-01-03 19:06:39,drive_thru,,debit_card,completed
1000579,1,32,2026-01-04 18:50:34,takeout,,credit_card,completed
1000749,15,2129,2026-01-06 12:12:31,takeout,,gift_card,refunded
1000932,19,123,2026-01-07 18:00:42,delivery,,apple_pay,completed
1001047,13,472,2026-01-08 13:42:36,dine_in,,credit_card,completed
1001161,16,2167,2026-01-09 12:42:16,dine_in,,credit_card,refunded
1001323,10,,2026-01-10 12:04:36,takeout,NEWYEAR10,credit_card,completed
1001340,13,,2026-01-10 12:23:51,takeout,,credit_card,completed
1001456,14,35,2026-01-10 19:28:20,drive_thru,,credit_card,refunded
1001483,9,1658,2026-01-11 11:08:56,delivery,,gift_card,refunded
1001503,6,685,2026-01-11 12:21:56,drive_thru,,gift_card,completed
1001517,17,2054,2026-01-11 12:41:36,takeout,,credit_card,completed
1001796,7,2030,2026-01-13 15:47:38,dine_in,,credit_card,completed
1001831,6,487,2026-01-13 19:04:39,dine_in,,credit_card,completed
1001834,5,,2026-01-13 19:05:24,,,debit_card,completed
1001909,10,,2026-01-14 13:14:37,dine_in,,credit_card,completed
1001987,10,1323,2026-01-15 11:55:45,takeout,,apple_pay,refunded
1002008,6,,2026-01-15 12:33:34,dine_in,,cash,completed
1002023,15,,2026-01-15 13:01:11,delivery,,credit_card,completed
1002035,10,,2026-01-15 13:20:52,dine_in,,credit_card,refunded
1002072,16,1733,2026-01-15 18:26:20,dine_in,,debit_card,refunded
1002137,14,2360,2026-01-16 11:19:32,drive_thru,,cash,completed
1002177,2,1201,2026-01-16 12:36:21,dine_in,NEWYEAR10,credit_card,completed
1002208,1,,2026-01-16 14:04:41,delivery,,credit_card,completed
1002237,6,2314,2026-01-16 18:15:49,drive_thru,,debit_card,refunded
1002301,3,,2026-01-16 21:23:03,dine_in,,apple_pay,completed
1002437,10,1611,2026-01-17 18:46:46,delivery,NEWYEAR10,gift_card,refunded
1002508,15,2372,2026-01-18 11:45:31,drive_thru,,cash,refunded
1002526,15,,2026-01-18 12:30:40,drive_thru,,credit_card,completed
1002580,1,,2026-01-18 18:29:15,dine_in,,debit_card,completed
1002647,6,2179,2026-01-19 12:22:32,delivery,,credit_card,refunded
1002820,15,,2026-01-20 18:56:17,dine_in,,cash,completed
1002916,12,757,2026-01-21 13:16:09,dine_in,,apple_pay,refunded
1003096,3,,2026-01-22 18:42:29,delivery,,apple_pay,completed
1003125,8,1327,2026-01-22 19:49:57,takeout,,debit_card,completed
1003167,6,429,2026-01-23 12:10:32,delivery,,credit_card,completed
1003217,9,1271,2026-01-23 13:07:21,drive_thru,,cash,completed
1003303,16,2336,2026-01-23 19:17:15,dine_in,,credit_card,refunded
1003383,11,2092,2026-01-24 12:37:21,delivery,,credit_card,completed
1003386,13,,2026-01-24 12:40:17,takeout,,credit_card,refunded
1003470,14,811,2026-01-24 18:51:12,drive_thru,,apple_pay,completed
1003548,4,,2026-01-25 12:01:03,dine_in,,apple_pay,completed
1003576,6,,2026-01-25 12:54:58,delivery,,apple_pay,refunded
1003582,2,2266,2026-01-25 13:05:16,dine_in,,debit_card,refunded
1003686,2,1321,2026-01-26 12:20:19,dine_in,NEWYEAR10,credit_card,completed
1003898,16,,2026-01-28 10:59:01,takeout,,gift_card,completed
1003901,5,,2026-01-28 11:35:27,dine_in,,credit_card,completed
1003915,15,279,2026-01-28 12:13:24,drive_thru,,credit_card,refunded
1003919,12,1918,2026-01-28 12:28:14,dine_in,,apple_pay,completed
1003920,5,1673,2026-01-28 12:28:15,dine_in,,debit_card,completed
1003940,4,1216,2026-01-28 13:30:39,delivery,,apple_pay,completed
1003942,9,1171,2026-01-28 13:39:03,dine_in,,credit_card,completed
1003946,14,,2026-01-28 14:12:46,takeout,,credit_card,cancelled
1003949,14,255,2026-01-28 14:36:11,delivery,,credit_card,completed
1003950,18,2405,2026-01-28 14:38:23,drive_thru,,apple_pay,completed
1003961,6,,2026-01-28 17:55:52,dine_in,,cash,completed
1003964,18,4,2026-01-28 18:06:54,takeout,,debit_card,completed
1003965,3,,2026-01-28 18:13:46,dine_in,,credit_card,completed
1003972,14,2086,2026-01-28 18:34:36,dine_in,,debit_card,completed
1003976,7,,2026-01-28 18:39:27,dine_in,,apple_pay,completed
1003991,13,,2026-01-28 19:09:55,dine_in,,credit_card,completed
1003993,13,1142,2026-01-28 19:14:08,dine_in,,cash,completed
1003999,14,,2026-01-28 19:43:45,takeout,,credit_card,completed
1004004,16,,2026-01-28 19:51:59,dine_in,NEWYEAR10,debit_card,completed
1004016,7,2285,2026-01-28 21:55:24,dine_in,,apple_pay,completed
1004032,17,131,2026-01-29 12:10:37,takeout,NEWYEAR10,cash,completed
1004048,15,1877,2026-01-29 12:43:16,dine_in,,apple_pay,completed
1004050,17,1358,2026-01-29 12:48:38,dine_in,,gift_card,completed
1004054,3,,2026-01-29 13:00:27,dine_in,,cash,completed
1004055,3,659,2026-01-29 13:02:12,dine_in,,debit_card,completed
1004075,3,918,2026-01-29 15:23:32,dine_in,,credit_card,completed
1004090,5,,01/29/2026 18:19,drive_thru,,debit_card,completed
1004096,1,2396,2026-01-29 18:34:23,dine_in,,apple_pay,completed
1004127,4,1506,2026-01-29 19:21:46,drive_thru,,cash,completed
1004139,10,,2026-01-29 19:50:27,drive_thru,NEWYEAR10,cash,completed
1004179,10,,2026-01-30 12:17:01,dine_in,,credit_card,completed
1004210,13,1862,2026-01-30 12:59:41,delivery,,debit_card,completed
1004216,19,,2026-01-30 13:02:36,takeout,,debit_card,completed
1004226,4,950,2026-01-30 13:13:01,dine_in,,gift_card,completed
1004230,10,1470,2026-01-30 13:16:54,delivery,,debit_card,completed
1004234,10,2395,2026-01-30 13:27:55,dine_in,,credit_card,completed
1004243,17,1332,2026-01-30 14:11:36,dine_in,,cash,completed
1004245,12,2289,2026-01-30 14:51:04,takeout,,credit_card,completed
1004257,1,2011,2026-01-30 17:46:28,dine_in,,credit_card,completed
1004263,19,2084,2026-01-30 17:56:37,takeout,,debit_card,completed
1004264,13,345,2026-01-30 17:58:34,dine_in,,credit_card,completed
1004282,4,,2026-01-30 18:40:04,drive_thru,,gift_card,refunded
1004284,17,242,2026-01-30 18:43:50,dine_in,,credit_card,completed
1004287,4,,2026-01-30 18:49:18,drive_thru,,credit_card,completed
1004313,2,,2026-01-30 19:20:56,takeout,,debit_card,completed
1004318,9,1338,2026-01-30 19:29:58,dine_in,,credit_card,completed
1004342,1,1138,2026-01-31 10:58:08,takeout,,credit_card,completed
1004347,11,,2026-01-31 11:29:12,dine_in,,apple_pay,completed
1004352,14,1642,2026-01-31 11:39:31,takeout,,apple_pay,completed
1004355,15,,2026-01-31 11:52:53,drive_thru,,credit_card,completed
1004361,16,973,2026-01-31 12:00:35,dine_in,,apple_pay,completed
1004370,4,1601,2026-01-31 12:11:58,drive_thru,,apple_pay,completed
1004374,1,,2026-01-31 12:16:40,dine_in,,apple_pay,completed
1004409,18,1495,2026-01-31 13:00:38,delivery,,credit_card,completed
1004417,2,2015,2026-01-31 13:14:13,dine_in,,credit_card,completed
1004430,9,2288,2026-01-31 14:32:44,takeout,,apple_pay,completed
1004434,3,2340,2026-01-31 15:32:30,dine_in,,credit_card,completed
1004458,14,2406,2026-01-31 18:20:46,drive_thru,,debit_card,completed
1004463,18,368,2026-01-31 18:34:45,drive_thru,,apple_pay,completed
1004475,1,2456,2026-01-31 18:54:22,delivery,,apple_pay,completed
1004485,2,247,2026-01-31 19:08:53,takeout,,credit_card,completed
1004490,15,281,2026-01-31 19:20:11,takeout,,cash,completed
1004507,17,2382,2026-01-31 19:51:56,delivery,,debit_card,completed
