order_id,location_id,customer_id,order_ts,channel,promo_code,payment_type,order_status
1008644,5,1527,2026-03-01 11:44:37,drive_thru,,credit_card,completed
1009012,6,1837,2026-03-03 16:21:28,drive_thru,TACOBOGO,credit_card,completed
1009014,11,,2026-03-03 17:01:53,dine_in,,credit_card,completed
1009022,4,1577,2026-03-03 17:37:04,drive_thru,,gift_card,completed
1009123,4,,2026-03-03 20:04:36,drive_thru,TACOBOGO,credit_card,completed
1009282,18,,2026-03-05 11:54:47,drive_thru,,credit_card,refunded
1009525,6,537,2026-03-06 19:40:03,drive_thru,,cash,refunded
1009573,6,2493,2026-03-07 12:07:05,drive_thru,,debit_card,refunded
1009602,2,317,2026-03-07 12:45:04,delivery,,credit_card,completed
1009796,19,954,2026-03-08 13:33:39,delivery,,credit_card,refunded
1009810,4,1625,2026-03-08 17:35:33,delivery,,gift_card,refunded
1009853,13,2345,2026-03-08 19:35:53,dine_in,,credit_card,refunded
1009860,4,1743,2026-03-08 20:18:29,drive_thru,,debit_card,completed
1009916,4,,2026-03-09 13:15:10,delivery,,credit_card,refunded
1009917,10,1796,2026-03-09 13:18:41,delivery,,credit_card,completed
1009999,9,976,2026-03-10 12:01:24,drive_thru,TACOBOGO,debit_card,completed
1010063,4,868,2026-03-10 14:56:59,dine_in,TACOBOGO,credit_card,completed
1010181,18,,2026-03-10 20:52:46,dine_in,TACOBOGO,debit_card,refunded
1010237,15,1727,2026-03-11 13:00:30,dine_in,,credit_card,completed
1010249,1,1929,2026-03-11 13:27:56,dine_in,,debit_card,completed
1010308,2,1938,2026-03-11 19:25:40,delivery,,credit_card,refunded
1010440,17,,2026-03-12 19:03:27,dine_in,,cash,completed
1010626,15,,2026-03-13 19:46:36,delivery,,credit_card,refunded
1010703,3,1596,2026-03-14 12:45:08,dine_in,,credit_card,completed
1010750,1,2018,2026-03-14 18:05:55,delivery,,credit_card,cancelled
1010793,1,801,2026-03-14 19:18:41,takeout,,debit_card,completed
1010859,13,,2026-03-15 12:09:46,dine_in,,debit_card,refunded
1011027,19,411,2026-03-16 13:01:28,delivery,,credit_card,completed
1011038,4,1524,2026-03-16 14:34:55,delivery,,gift_card,refunded
1011094,6,2275,2026-03-16 19:56:18,dine_in,,credit_card,completed
1011373,13,1072,2026-03-18 13:18:10,dine_in,,cash,completed
1011383,17,908,2026-03-18 16:13:01,takeout,,cash,completed
1011447,17,,2026-03-19 11:54:13,dine_in,,credit_card,refunded
1011600,3,1582,2026-03-20 11:20:05,dine_in,,debit_card,completed
1011609,17,,2026-03-20 11:50:58,dine_in,,credit_card,completed
1011687,3,,2026-03-20 16:39:30,delivery,,credit_card,completed
1011767,12,,2026-03-20 19:37:28,dine_in,,debit_card,refunded
1011893,17,,2026-03-21 17:37:57,dine_in,,gift_card,completed
1012150,14,828,2026-03-22 20:33:52,dine_in,,credit_card,refunded
1012205,15,1727,2026-03-23 13:03:58,delivery,,credit_card,completed
1012241,7,1950,2026-03-23 18:58:30,takeout,,gift_card,completed
1012306,19,1498,2026-03-24 12:09:56,drive_thru,TACOBOGO,credit_card,completed
1012381,5,,2026-03-24 13:16:20,drive_thru,TACOBOGO,cash,completed
1012430,3,17,2026-03-24 18:12:12,dine_in,TACOBOGO,credit_card,completed
1012518,12,811,2026-03-24 20:39:18,dine_in,TACOBOGO,gift_card,refunded
1012519,10,302,2026-03-24 20:54:43,takeout,TACOBOGO,credit_card,refunded
1012651,6,,2026-03-26 12:01:36,dine_in,,credit_card,refunded
1012692,8,,2026-03-26 13:07:58,delivery,,credit_card,completed
1012731,6,,2026-03-26 19:04:29,dine_in,,credit_card,completed
1013037,4,1848,2026-03-28 13:05:21,takeout,,apple_pay,completed
1013063,4,1677,2026-03-28 15:14:31,delivery,,apple_pay,completed
1013065,4,1608,2026-03-28 16:01:24,takeout,,credit_card,completed
1013109,12,,2026-03-28 19:04:06,dine_in,,credit_card,refunded
1013124,12,,2026-03-28 19:20:45,delivery,,credit_card,refunded
1013133,12,470,2026-03-28 19:34:44,takeout,,credit_card,refunded
1013278,6,2439,2026-03-29 19:20:44,drive_thru,,credit_card,completed
